rank,text,normalized_text,freq,class,ids
36,being,being,2317952,keep_single_word,"[326, 280]"
37,rib,rib,2303387,keep_single_word,"[405, 959]"
38,before,before,2299341,keep_single_word,"[326, 815]"
39,those,those,2291114,keep_single_word,"[300, 638]"
40,ing in,ing in,2289676,keep_phrase,"[280, 291]"
41,does,does,2285251,keep_single_word,"[480, 276]"
42,ower,ower,2275404,keep_single_word,"[328, 266]"
43,you can,you can,2274160,keep_phrase,"[318, 432]"
44,and ,and,2269499,keep_single_word,"[290, 939]"
45,pres,pres,2265879,keep_single_word,"[282, 448]"
46,it is,it is,2258980,keep_allowlist,"[353, 323]"
47,person,person,2257081,keep_single_word,"[282, 827]"
48,ient,ient,2247410,keep_single_word,"[944, 303]"
49,ually,ually,2225431,keep_single_word,"[952, 491]"
50,mark,mark,2210585,keep_single_word,"[288, 584]"
51,disc,disc,2203207,keep_single_word,"[616, 951]"
52,requ,requ,2202344,keep_single_word,"[311, 414]"
53,call,call,2196573,keep_single_word,"[274, 444]"
54,arket,arket,2191492,keep_single_word,"[584, 315]"
55,world,world,2191223,keep_single_word,"[458, 401]"
56,the st,the st,2191111,keep_phrase,"[267, 341]"
57,sur,sur,2189807,keep_single_word,"[268, 343]"
58,ation of,ation of,2177018,keep_phrase,"[342, 292]"
59,gen,gen,2170397,keep_single_word,"[314, 279]"
60,pol,pol,2168602,keep_single_word,"[282, 329]"
61,alk,alk,2150779,keep_single_word,"[286, 963]"
62,inte,inte,2141914,keep_single_word,"[291, 468]"
63,life,life,2131803,keep_single_word,"[304, 768]"
64,ank,ank,2120968,keep_single_word,"[284, 963]"
65,ving,ving,2104195,keep_single_word,"[961, 280]"
66,rest,rest,2103416,keep_single_word,"[264, 308]"
67,sim,sim,2102822,keep_single_word,"[268, 336]"
68,way,way,2098963,keep_single_word,"[958, 324]"
69,There,there,2093717,keep_single_word,"[352, 264]"
70,ed with,ed with,2088800,keep_phrase,"[285, 345]"
71,can be,can be,2081283,keep_allowlist,"[432, 326]"
72,ale,ale,2078626,keep_single_word,"[286, 940]"
73,end,end,2073983,keep_single_word,"[310, 272]"
74,trans,trans,2071481,keep_single_word,"[561, 536]"
75,ffect,ffect,2064812,keep_single_word,"[956, 771]"
76,develop,develop,2063253,keep_single_word,"[426, 862]"
77,gram,gram,2050555,keep_single_word,"[715, 330]"
78,med,med,2050015,keep_single_word,"[288, 285]"
79,es to,es to,2046190,keep_phrase,"[276, 287]"
80,How,how,2040048,keep_single_word,"[362, 328]"
81,used,used,2026567,keep_single_word,"[442, 285]"
82,ing for,ing for,2024819,keep_phrase,"[280, 321]"
83,system,system,2020586,keep_single_word,"[268, 921]"
84,ins,ins,2012200,keep_single_word,"[262, 946]"
85,while,while,2008896,keep_single_word,"[368, 593]"
86,led,led,2006973,keep_single_word,"[949, 285]"
87,ced,ced,2006752,keep_single_word,"[951, 285]"
88,cre,cre,1994310,keep_single_word,"[274, 264]"
89,chn,chn,1991503,keep_single_word,"[350, 945]"
90,pen,pen,1988990,keep_single_word,"[954, 279]"
91,mem,mem,1987803,keep_single_word,"[288, 411]"
92,mod,mod,1986875,keep_single_word,"[288, 466]"
93,ince,ince,1985759,keep_single_word,"[262, 351]"
94,ather,ather,1983708,keep_single_word,"[271, 389]"
95,ave,ave,1975884,keep_single_word,"[942, 305]"
96,sub,sub,1975458,keep_single_word,"[454, 959]"
97,one of,one of,1971049,keep_allowlist,"[533, 292]"
98,ives,ives,1969266,keep_single_word,"[456, 276]"
99,arn,arn,1965293,keep_single_word,"[289, 945]"
100,iet,iet,1965246,keep_single_word,"[944, 315]"
101,ness,ness,1964837,keep_single_word,"[945, 382]"
102,art,art,1964470,keep_single_word,"[626, 941]"
103,ces,ces,1963154,keep_single_word,"[951, 276]"
104,atch,atch,1959347,keep_single_word,"[271, 350]"
105,ros,ros,1959085,keep_single_word,"[307, 946]"
106,really,really,1957986,keep_single_word,"[311, 491]"
107,product,product,1956027,keep_single_word,"[721, 316]"
108,str,str,1949586,keep_single_word,"[341, 947]"
109,ouse,ouse,1948020,keep_single_word,"[273, 371]"
110,oun,oun,1942315,keep_single_word,"[273, 945]"
111,arm,arm,1941387,keep_single_word,"[289, 953]"
112,They,they,1939373,keep_single_word,"[352, 957]"
113,each,each,1938389,keep_single_word,"[310, 560]"
114,ene,ene,1938024,keep_single_word,"[279, 940]"
115,akes,akes,1937927,keep_single_word,"[467, 276]"
116,lead,lead,1937721,keep_single_word,"[449, 335]"
117,ublic,ublic,1937692,keep_single_word,"[563, 692]"
118,ferent,ferent,1937501,keep_single_word,"[482, 726]"
119,num,num,1935387,keep_single_word,"[312, 421]"
120,pub,pub,1934235,keep_single_word,"[282, 563]"
121,vis,vis,1932302,keep_single_word,"[413, 278]"
122,det,det,1931456,keep_single_word,"[293, 315]"
123,going,going,1921900,keep_single_word,"[566, 280]"
124,around,around,1921476,keep_single_word,"[261, 730]"
125,som,som,1919698,keep_single_word,"[268, 297]"
126,inter,inter,1919214,keep_single_word,"[291, 372]"
127,support,support,1913327,keep_single_word,"[454, 738]"
128,imes,imes,1911509,keep_single_word,"[336, 276]"
129,ric,ric,1910894,keep_single_word,"[947, 295]"
130,the re,the re,1910152,keep_phrase,"[267, 311]"
131,irect,irect,1909640,keep_single_word,"[553, 316]"
132,cept,cept,1901374,keep_single_word,"[351, 498]"
133,ines,ines,1900892,keep_single_word,"[262, 276]"
134,ality,ality,1897451,keep_single_word,"[286, 409]"
135,ier,ier,1890940,keep_single_word,"[944, 266]"
136,land,land,1890439,keep_single_word,"[949, 436]"
137,char,char,1886388,keep_single_word,"[435, 289]"
138,though,though,1885365,keep_single_word,"[300, 650]"
139,ret,ret,1881447,keep_single_word,"[311, 941]"
140,count,count,1880737,keep_single_word,"[274, 601]"
141,riv,riv,1880571,keep_single_word,"[405, 961]"
142,der,der,1880267,keep_single_word,"[950, 266]"
143,follow,follow,1879149,keep_single_word,"[277, 934]"
144,cour,cour,1878811,keep_single_word,"[274, 378]"
145,view,view,1876864,keep_single_word,"[961, 722]"
146,provid,provid,1874945,keep_single_word,"[705, 322]"
147,real,real,1873463,keep_single_word,"[311, 286]"
148,ets,ets,1863074,keep_single_word,"[315, 946]"
149,child,child,1860836,keep_single_word,"[435, 628]"
150,form,form,1856773,keep_single_word,"[321, 953]"
151,ional,ional,1851676,keep_single_word,"[299, 286]"
152,read,read,1850937,keep_single_word,"[264, 335]"
153,care,care,1849788,keep_single_word,"[274, 494]"
154,ize,ize,1849769,keep_single_word,"[527, 940]"
155,ween,ween,1847478,keep_single_word,"[749, 279]"
156,still,still,1845519,keep_single_word,"[341, 355]"
157,team,team,1844338,keep_single_word,"[532, 330]"
158,comple,comple,1843423,keep_single_word,"[488, 294]"
159,feel,feel,1842899,keep_single_word,"[557, 334]"
160,cur,cur,1840620,keep_single_word,"[274, 343]"
161,ages,ages,1833801,keep_single_word,"[472, 276]"
162,ivers,ivers,1833207,keep_single_word,"[944, 667]"
163,resent,resent,1828807,keep_single_word,"[448, 303]"
164,sign,sign,1826616,keep_single_word,"[268, 550]"
165,roup,roup,1822460,keep_single_word,"[462, 954]"
166,ple,ple,1818621,keep_single_word,"[954, 294]"
167,ved,ved,1813564,keep_single_word,"[961, 285]"
168,exp,exp,1810416,keep_single_word,"[408, 954]"
169,ution,ution,1803923,keep_single_word,"[340, 299]"
170,ash,ash,1802485,keep_single_word,"[296, 948]"
171,ustom,ustom,1801775,keep_single_word,"[419, 297]"
172,commun,commun,1801364,keep_single_word,"[699, 358]"
173,ion of,ion of,1798580,keep_phrase,"[299, 292]"
174,say,say,1787986,keep_single_word,"[268, 324]"
175,book,book,1785999,keep_single_word,"[281, 483]"
176,ars,ars,1780249,keep_single_word,"[289, 946]"
177,to re,to re,1778145,keep_phrase,"[287, 311]"
178,same,same,1776005,keep_single_word,"[268, 526]"
179,ata,ata,1774785,keep_single_word,"[271, 942]"
180,unity,unity,1773255,keep_single_word,"[358, 409]"
181,eas,eas,1769283,keep_single_word,"[310, 296]"
182,found,found,1767687,keep_single_word,"[277, 637]"
183,aut,aut,1767449,keep_single_word,"[261, 340]"
184,ser,ser,1767001,keep_single_word,"[268, 266]"
185,met,met,1763829,keep_single_word,"[288, 315]"
186,point,point,1763667,keep_single_word,"[282, 824]"
187,both,both,1762198,keep_single_word,"[281, 774]"
188,cle,cle,1761768,keep_single_word,"[274, 294]"
189,betwe,betwe,1758790,keep_single_word,"[752, 749]"
190,ittle,ittle,1752804,keep_single_word,"[685, 294]"
191,ear,ear,1751600,keep_single_word,"[310, 289]"
192,If you,if you,1746526,keep_phrase,"[746, 318]"
193,ute,ute,1736559,keep_single_word,"[340, 940]"
194,es in,es in,1729809,keep_phrase,"[276, 291]"
195,place,place,1728222,keep_single_word,"[452, 531]"
196,els,els,1711578,keep_single_word,"[334, 946]"
197,ways,ways,1711008,keep_single_word,"[958, 575]"
198,meric,meric,1710532,keep_single_word,"[640, 295]"
199,free,free,1708391,keep_single_word,"[277, 555]"
200,ever,ever,1708158,keep_single_word,"[940, 338]"
201,ering,ering,1706553,keep_single_word,"[266, 280]"
202,rep,rep,1704874,keep_single_word,"[311, 954]"
203,few,few,1703979,keep_single_word,"[557, 958]"
204,lot,lot,1697374,keep_single_word,"[304, 327]"
205,king,king,1694117,keep_single_word,"[963, 280]"
206,man,man,1692160,keep_single_word,"[953, 284]"
207,ature,ature,1689709,keep_single_word,"[271, 410]"
208,import,import,1689109,keep_single_word,"[545, 631]"
209,olut,olut,1685975,keep_single_word,"[329, 340]"
210,run,run,1684528,keep_single_word,"[418, 358]"
211,progr,progr,1682934,keep_single_word,"[367, 715]"
212,tech,tech,1679659,keep_single_word,"[532, 350]"
213,ams,ams,1678950,keep_single_word,"[330, 946]"
214,iel,iel,1678830,keep_single_word,"[944, 334]"
215,happ,happ,1670092,keep_single_word,"[377, 380]"
216,ed and,ed and,1666820,keep_phrase,"[285, 290]"
217,mat,mat,1666177,keep_single_word,"[288, 271]"
218,prof,prof,1666155,keep_single_word,"[367, 956]"
219,ital,ital,1663641,keep_single_word,"[275, 286]"
220,process,process,1662958,keep_single_word,"[367, 861]"
221,ody,ody,1662780,keep_single_word,"[466, 957]"
222,three,three,1661241,keep_single_word,"[300, 555]"
223,pur,pur,1660579,keep_single_word,"[282, 343]"
224,What,what,1658473,keep_single_word,"[704, 271]"
225,has been,has been,1657836,keep_phrase,"[474, 615]"
226,ized,ized,1655199,keep_single_word,"[527, 285]"
227,ing on,ing on,1654598,keep_phrase,"[280, 325]"
228,ption,ption,1652513,keep_single_word,"[498, 299]"
229,love,love,1651805,keep_single_word,"[304, 594]"
230,health,health,1648562,keep_single_word,"[354, 868]"
231,She,she,1647654,keep_single_word,"[313, 263]"
232,things,things,1633471,keep_single_word,"[300, 607]"
233,ext,ext,1632702,keep_single_word,"[408, 941]"
234,ger,ger,1631272,keep_single_word,"[955, 266]"
235,self,self,1630627,keep_single_word,"[946, 867]"
236,ember,ember,1630072,keep_single_word,"[411, 528]"
237,er to,er to,1626817,keep_phrase,"[266, 287]"
238,list,list,1626017,keep_single_word,"[304, 404]"
239,adv,adv,1624748,keep_single_word,"[484, 961]"
240,fun,fun,1622868,keep_single_word,"[277, 358]"
241,ord,ord,1622179,keep_single_word,"[386, 950]"
242,top,top,1617835,keep_single_word,"[287, 954]"
243,post,post,1615300,keep_single_word,"[282, 453]"
244,ed for,ed for,1613345,keep_phrase,"[285, 321]"
245,ired,ired,1611884,keep_single_word,"[944, 473]"
246,ety,ety,1609078,keep_single_word,"[315, 957]"
247,ames,ames,1608006,keep_single_word,"[330, 276]"
248,ants,ants,1604285,keep_single_word,"[415, 946]"
249,hand,hand,1603754,keep_single_word,"[377, 272]"
250,state,state,1599799,keep_single_word,"[341, 381]"
251,less,less,1598688,keep_single_word,"[949, 382]"
252,lar,lar,1598535,keep_single_word,"[304, 289]"
253,ists,ists,1597004,keep_single_word,"[404, 946]"
254,del,del,1596342,keep_single_word,"[293, 334]"
255,eld,eld,1594863,keep_single_word,"[334, 950]"
256,dire,dire,1594151,keep_single_word,"[293, 553]"
257,cust,cust,1589976,keep_single_word,"[274, 419]"
258,plan,plan,1588427,keep_single_word,"[452, 284]"
259,oad,oad,1587089,keep_single_word,"[943, 335]"
260,the pro,the pro,1585473,keep_phrase,"[267, 367]"
261,to get,to get,1585410,keep_phrase,"[287, 600]"
262,litt,litt,1584296,keep_single_word,"[304, 685]"
263,ten,ten,1584112,keep_single_word,"[941, 279]"
264,arge,arge,1583951,keep_single_word,"[289, 376]"
265,month,month,1579576,keep_single_word,"[907, 429]"
266,ton,ton,1578875,keep_single_word,"[941, 265]"
267,ves,ves,1577690,keep_single_word,"[961, 276]"
268,bel,bel,1575795,keep_single_word,"[326, 949]"
269,want to,want to,1575611,keep_phrase,"[741, 287]"
270,uth,uth,1574033,keep_single_word,"[340, 948]"
271,bers,bers,1573292,keep_single_word,"[959, 356]"
272,imp,imp,1573227,keep_single_word,"[336, 954]"
273,pow,pow,1572458,keep_single_word,"[282, 328]"
274,as the,as the,1572354,keep_phrase,"[366, 267]"
275,fact,fact,1570805,keep_single_word,"[277, 537]"
276,arly,arly,1567872,keep_single_word,"[289, 320]"
277,gin,gin,1566835,keep_single_word,"[955, 262]"
278,dat,dat,1566834,keep_single_word,"[293, 271]"
279,att,att,1566562,keep_single_word,"[271, 941]"
280,eral,eral,1563843,keep_single_word,"[266, 286]"
281,keep,keep,1563570,keep_single_word,"[810, 585]"
282,orn,orn,1563513,keep_single_word,"[270, 945]"
283,cor,cor,1563509,keep_single_word,"[274, 270]"
284,Amer,amer,1562081,keep_single_word,"[317, 640]"
285,ology,ology,1556078,keep_single_word,"[877, 957]"
286,ision,ision,1553431,keep_single_word,"[278, 299]"
287,oot,oot,1552650,keep_single_word,"[943, 327]"
288,oci,oci,1552270,keep_single_word,"[427, 944]"
289,as well,as well,1551842,keep_phrase,"[366, 747]"
290,ething,ething,1551187,keep_single_word,"[315, 820]"
291,let,let,1550757,keep_single_word,"[294, 941]"
292,All,all,1550638,keep_single_word,"[317, 565]"
293,pat,pat,1549240,keep_single_word,"[282, 271]"
294,umber,umber,1548834,keep_single_word,"[421, 528]"
295,thing,thing,1547797,keep_single_word,"[429, 280]"
296,ott,ott,1545287,keep_single_word,"[327, 941]"
297,ern,ern,1544739,keep_single_word,"[266, 945]"
298,ed on,ed on,1544259,keep_phrase,"[285, 325]"
299,ailable,ailable,1543633,keep_single_word,"[508, 501]"
300,avail,avail,1539320,keep_single_word,"[906, 508]"
