rank,text,normalized_text,freq,score,action,reasons,ids
68,ividual,ividual,975633,8,keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[456, 322, 711]"
69,community,community,964868,9,keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like;suffix_like,"[699, 358, 409]"
70,enjoy,enjoy,961763,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[506, 990, 643]"
71,didn,didn,960152,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[293, 322, 945]"
72,individ,individ,957996,14,keep,good_prefix_stem_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[753, 456, 322]"
73,body,body,956947,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[281, 466, 957]"
74,talk,talk,955600,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[260, 286, 963]"
75,uthor,uthor,954434,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[340, 948, 270]"
76,house,house,954265,3,drop,clean_alpha;plausible_vowel_ratio;short_ambiguous_fragment,"[298, 273, 371]"
77,memb,memb,952694,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[288, 411, 959]"
78,products,products,952596,8,keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[721, 316, 946]"
79,ready,ready,950369,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[264, 335, 957]"
80,ajor,ajor,944437,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[942, 990, 270]"
81,ounc,ounc,942227,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[273, 945, 951]"
82,owever,owever,942156,-999,drop,explicit_bad_fragment,"[328, 940, 338]"
83,load,load,938144,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[949, 943, 335]"
84,organiz,organiz,937781,14,keep,good_prefix_stem_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[386, 910, 527]"
85,merican,merican,937126,0,drop,clean_alpha;plausible_vowel_ratio;good_length;bad_start_shape,"[640, 295, 284]"
86,social,social,933572,21,keep,full_word_allowlist;good_prefix_stem_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[268, 427, 461]"
87,ohn,ohn,933209,-999,drop,too_short,"[943, 948, 945]"
88,Howe,howe,932334,3,drop,clean_alpha;plausible_vowel_ratio;short_ambiguous_fragment,"[362, 328, 940]"
89,women,women,923845,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[269, 297, 279]"
90,website,website,921116,8,keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[373, 804, 509]"
91,educ,educ,919061,13,keep,good_prefix_stem_allowlist;clean_alpha;plausible_vowel_ratio;prefix_like,"[285, 952, 951]"
92,quality,quality,916955,22,keep,full_word_allowlist;good_prefix_stem_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like;suffix_like,"[587, 286, 409]"
93,makes,makes,916921,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[288, 467, 276]"
94,possible,possible,915780,15,keep,full_word_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[282, 847, 845]"
95,begin,begin,914326,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[326, 955, 262]"
96,research,research,911448,21,keep,full_word_allowlist;good_prefix_stem_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[311, 371, 897]"
97,focus,focus,910735,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[277, 427, 333]"
98,certain,certain,908063,8,keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[274, 787, 430]"
99,easy,easy,907512,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[310, 296, 957]"
100,alread,alread,904540,-999,drop,explicit_bad_fragment,"[357, 264, 335]"
